System name,Distance from Sol (ly),System stars count,System suitable stars count,Gas Body Name,Gas Body Surface Temperature (K),Gas Sub Type,Gas distance from arrival (ls),Gas has multiple stars ?,Gas star as orbit center ?,Gas orbit centers count,Gas orbital eccentricity,Gas semi major axis (ls),Gas semi minor axis (ls),Ref Star Name,Ref Star Sub Type,Ref Star Temp Class,Ref Star Distance from arrival (ls),Ref Star Radius,Ref Star Luminosity,Ref Star Age,Ref Star Temperature,Biggest Suitable Star Radius,8th Moon Name,8th Moon Distance from arrival (ls),8th Moon Sub Type,8th Moon Surface Temperature (K),8th Moon Radius,Star Types,Is populated,Has M or TT Star ?,Coldest M or TT Star temp.,Coldest M or TT Star lum.,Has Toroid Station
Pegasi Sector TY-R b4-5,185.94,2,2,Pegasi Sector TY-R b4-5 AB 1,133,Gas giant with ammonia-based life,835,true,false,1,0,846.911286,846.911286,Pegasi Sector TY-R b4-5 B,L (Brown dwarf) Star,9,181,0.2842,V,9424,1429,0.5435,Pegasi Sector TY-R b4-5 AB 1 h,824,Icy body,73,1332.2207,-M (Red dwarf) Star-L (Brown dwarf) Star-,1,true,3152,Va,false
HIP 117975,190.98,4,4,HIP 117975 C 12,133,Gas giant with ammonia-based life,31016,false,true,2,0.0082,2328.5070315,2328.4287457775954,HIP 117975 C,K (Yellow-Orange) Star,0,30733,0.8722,Va,706,4687,1.0017,HIP 117975 C 12 h,31025,Icy body,99,1983.6672,-G (White-Yellow) Star-K (Yellow-Orange) Star-Y (Brown dwarf) Star-K (Yellow-Orange) Star-,1,false,,,true
Annarthia,258.39,2,2,Annarthia A 7,133,Class I gas giant,757,false,true,2,0.0019,756.0424754999999,756.0411108421001,Annarthia A,K (Yellow-Orange) Star,1,0,0.6248,Va,2632,3754,0.6248,Annarthia A 7 h,753,Icy body,96,726.1379,-K (Yellow-Orange) Star-L (Brown dwarf) Star-,1,false,,,false
Col 285 Sector DR-V d2-43,283.72,1,1,Col 285 Sector DR-V d2-43 9,133,Class I gas giant,1454,false,true,1,0.0004,1453.8510675,1453.85095119191,Col 285 Sector DR-V d2-43,G (White-Yellow) Star,0,0,0.9273,Vz,234,5297,0.9273,Col 285 Sector DR-V d2-43 9 h,1455,Rocky body,129,630.3517,-G (White-Yellow) Star-,0,false,,,false
HIP 4024,125.65,1,1,HIP 4024 3,133,Class I gas giant,1200,false,true,1,0.0012,1200.506229,1200.5053646352042,HIP 4024,K (Yellow-Orange giant) Star,0,0,0.7026,IV,11542,3943,0.7026,HIP 4024 3 h,1185,Icy body,88,1133.377,-K (Yellow-Orange giant) Star-,1,false,,,true
Mandill,227.09,1,1,Mandill 9,133,Class I gas giant,1099,false,true,1,0.0014,1098.310005,1098.3089286556678,Mandill,M (Red dwarf) Star,4,0,0.5856,Va,470,3216,0.5856,Mandill 9 h,1107,Icy body,115,1407.9651,-M (Red dwarf) Star-,1,true,3216,Va,false
Col 285 Sector WK-O d6-29,236.40,3,3,Col 285 Sector WK-O d6-29 A 3,133,Class I gas giant,915,false,true,2,0.0001,915.2250705,915.2250659238746,Col 285 Sector WK-O d6-29 A,K (Yellow-Orange) Star,0,0,0.7756,Va,1192,4051,0.7756,Col 285 Sector WK-O d6-29 A 3 h,914,Icy body,106,1113.5822,-K (Yellow-Orange) Star-T (Brown dwarf) Star-M (Red dwarf) Star-,0,true,2354,Va,false
Kutkinungs,238.88,2,2,Kutkinungs B 7,133,Class I gas giant,17482,false,true,2,0.0007,2426.7112155,2426.710620955679,Kutkinungs B,K (Yellow-Orange) Star,0,19176,0.8259,Va,1022,4691,0.9939,Kutkinungs B 7 h,17496,Icy body,111,1027.0562,-K (Yellow-Orange) Star-G (White-Yellow) Star-,1,false,,,false
HIP 109207,232.97,2,2,HIP 109207 A 3,133,Gas giant with ammonia-based life,3648,false,true,2,0.0003,3646.8782415,3646.878077390475,HIP 109207 A,G (White-Yellow) Star,0,0,1.0998,V,12898,6165,1.0998,HIP 109207 A 3 h,3631,Icy body,90,1637.708,-G (White-Yellow) Star-M (Red dwarf) Star-,0,true,3352,Va,false
Col 285 Sector GR-U c3-2,221.96,2,2,Col 285 Sector GR-U c3-2 A 1,133,Class I gas giant,2328,false,true,2,0.0014,2330.952156,2330.9498716657677,Col 285 Sector GR-U c3-2 A,K (Yellow-Orange) Star,0,0,0.7228,Va,3882,3996,0.7228,Col 285 Sector GR-U c3-2 A 1 h,2312,Icy body,74,1899.3232,-K (Yellow-Orange) Star-M (Red dwarf) Star-,0,true,2450,Va,false
Mvubandowag,156.97,2,2,Mvubandowag B 7,133,Class I gas giant,121376,false,true,2,0,1801.6575525,1801.6575525,Mvubandowag B,K (Yellow-Orange) Star,0,123046,0.8487,Va,584,4562,1.1639,Mvubandowag B 7 h,121373,Icy body,103,2983.9326,-K (Yellow-Orange) Star-F (White) Star-,1,false,,,false
HIP 114037,245.07,1,1,HIP 114037 4,133,Class I gas giant,2090,false,true,1,0.0106,2095.721199,2095.6034580756045,HIP 114037,G (White-Yellow) Star,0,0,0.9155,V,10322,5173,0.9155,HIP 114037 4 h,2125,Icy body,87,3772.6272,-G (White-Yellow) Star-,0,false,,,false
Col 285 Sector JR-V d2-30,252.71,2,2,Col 285 Sector JR-V d2-30 B 10,133,Class I gas giant,22438,false,true,2,0.0004,1031.2936335,1031.293550996506,Col 285 Sector JR-V d2-30 B,M (Red dwarf) Star,5,21422,0.4754,Va,350,3018,0.9627,Col 285 Sector JR-V d2-30 B 10 h,22444,Icy body,87,1411.0294,-K (Yellow-Orange) Star-M (Red dwarf) Star-,0,true,3018,Va,false
Col 285 Sector HG-X d1-108,290.28,1,1,Col 285 Sector HG-X d1-108 4,133,Class I gas giant,4299,false,true,1,0.0106,4288.898074500001,4288.657117437501,Col 285 Sector HG-X d1-108,F (White) Star,0,0,1.1956,Vb,4660,6678,1.1956,Col 285 Sector HG-X d1-108 4 h,4311,Icy body,96,1789.877,-F (White) Star-,0,false,,,false
Col 285 Sector JA-R b20-4,189.86,1,1,Col 285 Sector JA-R b20-4 10,133,Class I gas giant,952,false,true,1,0,952.400943,952.400943,Col 285 Sector JA-R b20-4,M (Red dwarf) Star,1,0,0.5378,Va,3250,3604,0.5378,Col 285 Sector JA-R b20-4 10 h,964,Icy body,77,1644.316,-M (Red dwarf) Star-,0,true,3604,Va,false
LP 816-60,18.65,1,1,LP 816-60 4,132,Gas giant with ammonia-based life,716,false,true,1,0,716.4214785,716.4214785,LP 816-60,M (Red dwarf) Star,5,0,0.5259,V,8414,2952,0.5259,LP 816-60 4 h,711,Icy body,37,1281.8347,-M (Red dwarf) Star-,1,true,2952,V,false
Col 285 Sector CR-U c3-4,285.09,1,1,Col 285 Sector CR-U c3-4 3,132,Gas giant with ammonia-based life,1499,false,false,0,0.0054,1494.1706715,1494.1488863327945,Col 285 Sector CR-U c3-4,K (Yellow-Orange) Star,0,0,0.8601,Va,11468,4541,0.8601,Col 285 Sector CR-U c3-4 3 h,1508,Icy body,95,1161.5093,-K (Yellow-Orange) Star-,0,false,,,false
Dyavata,120.76,1,1,Dyavata 7,132,Class I gas giant,3788,false,true,1,0.0001,3788.745363,3788.7453440562726,Dyavata,F (White) Star,0,0,1.2334,VI,1152,7362,1.2334,Dyavata 7 h,3807,Icy body,114,896.5458,-F (White) Star-,1,false,,,false
Scorpii Sector OY-R b4-3,159.92,1,1,Scorpii Sector OY-R b4-3 2,132,Gas giant with ammonia-based life,566,false,true,1,0.0003,565.9714710000001,565.9714455312833,Scorpii Sector OY-R b4-3,M (Red dwarf) Star,6,0,0.4684,Va,3804,2754,0.4684,Scorpii Sector OY-R b4-3 2 h,566,Icy body,73,2449.709,-M (Red dwarf) Star-,0,true,2754,Va,false
Lokites,121.58,1,1,Lokites 2,132,Class I gas giant,1130,false,true,1,0.0028,1131.3940365,1131.389601426684,Lokites,K (Yellow-Orange) Star,0,0,0.7894,Va,3954,4347,0.7894,Lokites 2 h,1128,Icy body,99,1027.3315,-K (Yellow-Orange) Star-,1,false,,,false
HIP 113598,214.86,1,1,HIP 113598 4,132,Gas giant with ammonia-based life,2349,false,true,1,0.0008,2347.2696195,2347.2688683736014,HIP 113598,G (White-Yellow) Star,0,0,1.085,V,13058,6184,1.085,HIP 113598 4 h,2359,Icy body,107,1006.2648,-G (White-Yellow) Star-,1,false,,,false
Candecama,142.03,2,2,Candecama A 18,132,Gas giant with ammonia-based life,1837,false,true,2,0.001,1838.7835244999999,1838.7826051080078,Candecama A,K (Yellow-Orange) Star,0,0,0.6917,Vab,246,4633,0.6917,Candecama A 18 h,1843,Icy body,82,1492.0944,-K (Yellow-Orange) Star-L (Brown dwarf) Star-,1,false,,,false
Col 285 Sector UK-E c12-31,172.41,2,2,Col 285 Sector UK-E c12-31 B 6,132,Class I gas giant,74105,false,true,2,0.0011,1213.879563,1213.8788286026422,Col 285 Sector UK-E c12-31 B,M (Red dwarf) Star,3,74266,0.5294,Va,6634,3339,0.7403,Col 285 Sector UK-E c12-31 B 6 h,74087,Icy body,76,1896.99,-K (Yellow-Orange) Star-M (Red dwarf) Star-,0,true,3339,Va,false
Jatar,196.22,1,1,Jatar 8,132,Class I gas giant,1050,false,true,1,0.0003,1050.405525,1050.4054777317504,Jatar,M (Red dwarf) Star,3,0,0.5608,Va,500,3287,0.5608,Jatar 8 h,1046,Icy body,115,1237.6285,-M (Red dwarf) Star-,1,true,3287,Va,false
Synuefe JE-V b49-3,261.43,1,1,Synuefe JE-V b49-3 3,132,Class I gas giant,1345,false,true,1,0.0043,1347.4632015,1347.4507441451178,Synuefe JE-V b49-3,M (Red dwarf) Star,7,0,0.4747,Va,1790,2549,0.4747,Synuefe JE-V b49-3 3 h,1359,Icy body,46,2010.6688,-M (Red dwarf) Star-,0,true,2549,Va,false
Col 285 Sector RB-E b12-2,257.61,1,1,Col 285 Sector RB-E b12-2 8,132,Class I gas giant,1547,false,false,0,0.0001,1546.7158980000002,1546.7158902664205,Col 285 Sector RB-E b12-2,M (Red dwarf) Star,4,0,0.6475,Va,4822,3141,0.6475,Col 285 Sector RB-E b12-2 8 h,1563,Icy body,59,2435.0576,-M (Red dwarf) Star-,0,true,3141,Va,false
HIP 97564,210.28,1,1,HIP 97564 5,132,Gas giant with ammonia-based life,3126,false,true,1,0.0005,3124.7194095,3124.7190189100493,HIP 97564,F (White) Star,0,0,1.2845,V,5624,7394,1.2845,HIP 97564 5 h,3117,Icy body,116,836.8405,-F (White) Star-,1,false,,,false
Col 285 Sector RD-K c8-3,280.18,1,1,Col 285 Sector RD-K c8-3 1,132,Class I gas giant,866,false,true,1,0.0002,866.172879,866.1728616765423,Col 285 Sector RD-K c8-3,K (Yellow-Orange) Star,0,0,0.7472,Va,1994,3993,0.7472,Col 285 Sector RD-K c8-3 1 h,868,Icy body,102,870.5087,-K (Yellow-Orange) Star-,0,false,,,false
Col 285 Sector BE-Z b14-2,236.57,2,2,Col 285 Sector BE-Z b14-2 A 3,132,Class I gas giant,733,false,true,2,0.0023,734.4854594999999,734.4835167833903,Col 285 Sector BE-Z b14-2 A,T Tauri Star,5,0,0.6018,Va,206,2853,0.6018,Col 285 Sector BE-Z b14-2 A 3 h,737,Icy body,76,2150.6238,-T Tauri Star-T Tauri Star-,0,true,1891,VI,false
Synuefe BR-L c24-26,265.32,1,1,Synuefe BR-L c24-26 3,132,Class I gas giant,1275,false,true,1,0.0037,1273.2112574999999,1273.2025423391144,Synuefe BR-L c24-26,K (Yellow-Orange) Star,0,0,0.6956,Va,4724,4246,0.6956,Synuefe BR-L c24-26 3 h,1281,Icy body,88,1086.2794,-K (Yellow-Orange) Star-,0,false,,,false
Col 285 Sector PT-Q d5-55,276.17,3,3,Col 285 Sector PT-Q d5-55 A 5,132,Class I gas giant,1887,false,true,2,0.0024,1884.143079,1884.1376526601184,Col 285 Sector PT-Q d5-55 A,K (Yellow-Orange) Star,0,0,0.9886,Va,756,4739,0.9886,Col 285 Sector PT-Q d5-55 A 5 h,1896,Icy body,109,1458.7017,-K (Yellow-Orange) Star-K (Yellow-Orange) Star-M (Red dwarf) Star-,0,true,2912,Va,false
Col 285 Sector NU-D c13-2,291.75,1,1,Col 285 Sector NU-D c13-2 4,132,Class I gas giant,1675,false,true,1,0.0003,1674.461178,1674.4611026492453,Col 285 Sector NU-D c13-2,K (Yellow-Orange) Star,0,0,0.8633,Vab,5224,5106,0.8633,Col 285 Sector NU-D c13-2 4 h,1668,Icy body,100,994.2204,-K (Yellow-Orange) Star-,0,false,,,false
Col 285 Sector WL-C c13-17,274.27,1,1,Col 285 Sector WL-C c13-17 14,132,Gas giant with ammonia-based life,1856,false,true,1,0.0012,1853.7536745,1853.752339796874,Col 285 Sector WL-C c13-17,K (Yellow-Orange) Star,0,0,0.7675,Vab,294,4715,0.7675,Col 285 Sector WL-C c13-17 14 h,1858,Icy body,85,1305.4316,-K (Yellow-Orange) Star-,0,false,,,false
Col 285 Sector RT-H b10-2,254.17,1,1,Col 285 Sector RT-H b10-2 1,132,Gas giant with ammonia-based life,955,false,true,1,0.0009,955.09557,955.0951831862158,Col 285 Sector RT-H b10-2,M (Red dwarf) Star,6,0,0.4872,Va,11550,2729,0.4872,Col 285 Sector RT-H b10-2 1 h,958,Icy body,58,1252.7789,-M (Red dwarf) Star-,0,true,2729,Va,false
Pegasi Sector UY-R b4-1,165.08,1,1,Pegasi Sector UY-R b4-1 9,132,Class I gas giant,1251,false,true,1,0.0005,1251.704142,1251.7039855369724,Pegasi Sector UY-R b4-1,M (Red dwarf) Star,3,0,0.543,Va,328,3365,0.543,Pegasi Sector UY-R b4-1 9 h,1254,Icy body,106,1245.7517,-M (Red dwarf) Star-,0,true,3365,Va,false
Amalangkan,82.82,1,1,Amalangkan 3,131,Class I gas giant,1171,false,true,1,0.0003,1171.264536,1171.2644832930946,Amalangkan,M (Red dwarf) Star,5,0,0.5581,Va,1592,3031,0.5581,Amalangkan 3 h,1157,Icy body,61,1449.3424,-M (Red dwarf) Star-,1,true,3031,Va,false
Vasir,120.84,1,1,Vasir 3,131,Class I gas giant,774,false,true,1,0,773.6074515,773.6074515,Vasir,M (Red dwarf) Star,1,0,0.5945,Va,13012,3602,0.5945,Vasir 3 h,769,Icy body,88,1000.0393,-M (Red dwarf) Star-,1,true,3602,Va,false
Horae,58.26,1,1,Horae 2,131,Class I gas giant,4550,false,true,1,0.0058,4523.7298275,4523.653737724381,Horae,M (Red dwarf) Star,5,0,0.4972,V,8592,2854,0.4972,Horae 2 h,4541,Icy body,34,1205.6028,-M (Red dwarf) Star-,1,true,2854,V,false
HIP 71785,237.18,1,1,HIP 71785 5,131,Class I gas giant,2665,false,false,0,0.0044,2676.66282,2676.6369097784964,HIP 71785,F (White) Star,0,0,1.1558,V,5136,6757,1.1558,HIP 71785 5 h,2686,Icy body,108,1183.6582,-F (White) Star-,0,false,,,false
HIP 58121,133.81,2,2,HIP 58121 A 4,131,Class I gas giant,1684,false,true,2,0.0004,1684.740681,1684.74054622074,HIP 58121 A,G (White-Yellow) Star,0,0,0.9351,V,1032,5349,0.9351,HIP 58121 A 4 h,1684,Icy body,106,1342.3499,-G (White-Yellow) Star-M (Red dwarf) Star-,0,true,2872,Va,false
Lyncis Sector LR-W b1-0,187.64,1,1,Lyncis Sector LR-W b1-0 2,131,Class I gas giant,1395,false,true,1,0.0007,1395.517383,1395.5170410981993,Lyncis Sector LR-W b1-0,M (Red dwarf) Star,2,0,0.6623,Va,8940,3432,0.6623,Lyncis Sector LR-W b1-0 2 h,1390,Icy body,112,1227.4904,-M (Red dwarf) Star-,0,true,3432,Va,false
Col 285 Sector AV-F c11-9,232.36,1,1,Col 285 Sector AV-F c11-9 2,131,Class I gas giant,1959,false,true,1,0.0001,1958.8441275,1958.8441177057791,Col 285 Sector AV-F c11-9,K (Yellow-Orange) Star,0,0,0.7845,Vab,12993,4820,0.7845,Col 285 Sector AV-F c11-9 2 h,1943,Icy body,85,1669.7249,-K (Yellow-Orange) Star-,0,false,,,false
Pegasi Sector JX-S b4-9,137.46,1,1,Pegasi Sector JX-S b4-9 8,131,Gas giant with ammonia-based life,978,false,true,1,0.0012,977.6006955,977.5999916272459,Pegasi Sector JX-S b4-9,T Tauri Star,4,0,0.5888,Va,208,3159,0.5888,Pegasi Sector JX-S b4-9 8 h,978,Icy body,124,1441.0092,-T Tauri Star-,1,true,3159,Va,false
BD+22 2742,84.61,3,3,BD+22 2742 BC 1,131,Class I gas giant,17636,true,false,2,0.106,2055.6510975,2044.0698259436233,BD+22 2742 C,L (Brown dwarf) Star,9,19571,0.2941,V,4584,1585,0.6961,BD+22 2742 BC 1 h,17617,Icy body,55,4069.2161,-M (Red dwarf) Star-L (Brown dwarf) Star-M (Red dwarf) Star-,1,true,2629,Va,false
Col 285 Sector PI-S d4-56,245.66,1,1,Col 285 Sector PI-S d4-56 5,131,Class I gas giant,2917,false,true,1,0.0009,2916.584424,2916.583242783069,Col 285 Sector PI-S d4-56,F (White) Star,0,0,1.2121,Vab,3226,6230,1.2121,Col 285 Sector PI-S d4-56 5 h,2917,Icy body,109,1131.9543,-F (White) Star-,0,false,,,false
Didiomanja,140.65,1,1,Didiomanja 8,131,Class I gas giant,1887,false,true,2,0.1377,0.49900500000000003,0.494251469635042,Didiomanja,K (Yellow-Orange) Star,0,0,0.9376,Va,7024,5035,0.9376,Didiomanja 8 h,1883,Icy body,99,1215.7352,-K (Yellow-Orange) Star-,1,false,,,false
V0566 Ophiuchii,246.53,2,2,V0566 Ophiuchii AB 6,131,Class I gas giant,6217,true,false,1,0.0051,6205.8756825,6205.794974561943,V0566 Ophiuchii,F (White) Star,0,44,1.3011,V,3328,7393,1.3011,V0566 Ophiuchii AB 6 h,6204,Rocky body,118,1197.4019,-F (White) Star-F (White) Star-,0,false,,,false
Hyades Sector OS-T c3-11,186.47,1,1,Hyades Sector OS-T c3-11 2,131,Class I gas giant,2674,false,true,1,0.0188,2638.5887385,2638.122405889341,Hyades Sector OS-T c3-11,K (Yellow-Orange) Star,0,0,0.9012,Va,10076,4876,0.9012,Hyades Sector OS-T c3-11 2 h,2666,Icy body,81,2522.0149,-K (Yellow-Orange) Star-,0,false,,,false
Col 285 Sector YS-D b27-3,229.95,1,1,Col 285 Sector YS-D b27-3 1,131,Gas giant with ammonia-based life,823,false,true,1,0.0004,823.158648,823.1585821473055,Col 285 Sector YS-D b27-3,M (Red dwarf) Star,3,0,0.5608,Va,10950,3270,0.5608,Col 285 Sector YS-D b27-3 1 h,832,Icy body,76,1372.7545,-M (Red dwarf) Star-,0,true,3270,Va,false
HIP 79296,201.18,1,1,HIP 79296 9,131,Gas giant with ammonia-based life,2593,false,true,1,0.0037,2602.311075,2602.293262119727,HIP 79296,K (Yellow-Orange giant) Star,0,0,2.129,III,11778,4363,2.129,HIP 79296 9 h,2606,Icy body,107,963.9631,-K (Yellow-Orange giant) Star-,0,false,,,false
Synuefe YV-M c23-10,264.12,1,1,Synuefe YV-M c23-10 9,130,Class I gas giant,1265,false,true,1,0.0002,1264.678272,1264.6782467064345,Synuefe YV-M c23-10,K (Yellow-Orange) Star,0,0,0.705,Va,492,4271,0.705,Synuefe YV-M c23-10 9 h,1271,Icy body,89,1216.9043,-K (Yellow-Orange) Star-,0,false,,,false
Hyades Sector XZ-Y c11,265.19,3,3,Hyades Sector XZ-Y c11 AB 2,130,Class I gas giant,2221,true,false,2,0,2427.3100215,2427.3100215,Hyades Sector XZ-Y c11 B,M (Red dwarf) Star,2,898,0.6353,Va,3078,3572,0.8497,Hyades Sector XZ-Y c11 AB 2 h,2237,Icy body,84,3733.0286,-K (Yellow-Orange) Star-M (Red dwarf) Star-M (Red dwarf) Star-,0,true,2961,Va,false
Herculis Sector JH-V b2-4,115.29,1,1,Herculis Sector JH-V b2-4 2,130,Gas giant with ammonia-based life,1037,false,true,1,0.0036,1039.9763205,1039.9695814316083,Herculis Sector JH-V b2-4,M (Red dwarf) Star,4,0,0.622,Va,2618,3164,0.622,Herculis Sector JH-V b2-4 2 h,1034,Icy body,126,1775.9246,-M (Red dwarf) Star-,0,true,3164,Va,false
Col 285 Sector MI-S c4-3,284.33,1,1,Col 285 Sector MI-S c4-3 5,130,Class I gas giant,3070,false,true,1,0.0047,3075.567417,3075.53344717028,Col 285 Sector MI-S c4-3,G (White-Yellow) Star,0,0,1.0045,Vab,11182,5559,1.0045,Col 285 Sector MI-S c4-3 5 h,3068,Rocky body,100,775.477,-G (White-Yellow) Star-,0,false,,,false
Ross 970,132.77,2,2,Ross 970 A 3,130,Class I gas giant,922,false,true,2,0.0002,921.6123345,921.6123160677531,Ross 970 A,K (Yellow-Orange) Star,0,0,0.7908,V,8130,4411,0.7908,Ross 970 A 3 h,923,Icy body,99,1368.3735,-K (Yellow-Orange) Star-K (Yellow-Orange) Star-,1,false,,,false
Ngundjedes,192.84,1,1,Ngundjedes 1,130,Class I gas giant,1118,false,true,1,0.002,1117.172394,1117.1701596529776,Ngundjedes,K (Yellow-Orange) Star,0,0,0.6475,Va,12999,4241,0.6475,Ngundjedes 1 h,1115,Icy body,90,1327.0767,-K (Yellow-Orange) Star-,1,false,,,false
Col 285 Sector NE-F c12-7,216.18,1,1,Col 285 Sector NE-F c12-7 2,130,Class I gas giant,1606,false,true,1,0.0076,1596.6163980000001,1596.570287052574,Col 285 Sector NE-F c12-7,K (Yellow-Orange) Star,0,0,0.9659,Va,5316,4778,0.9659,Col 285 Sector NE-F c12-7 2 h,1607,Icy body,101,2605.4668,-K (Yellow-Orange) Star-,0,false,,,false
HIP 17790,156.91,1,1,HIP 17790 5,130,Class I gas giant,1767,false,true,1,0.0004,1767.0266055,1767.026464137866,HIP 17790,G (White-Yellow) Star,0,0,0.9992,V,5768,5606,0.9992,HIP 17790 5 h,1765,Icy body,107,854.2178,-G (White-Yellow) Star-,1,false,,,false
HIP 17326,173.97,3,3,HIP 17326 C 1,130,Gas giant with ammonia-based life,28256,false,true,2,0.0014,823.957056,823.9562485216894,HIP 17326 C,M (Red dwarf) Star,5,28034,0.5901,Va,11086,3005,0.8835,HIP 17326 C 1 h,28265,Icy body,95,1228.8831,-G (White-Yellow) Star-M (Red dwarf) Star-M (Red dwarf) Star-,0,true,3005,Va,false
Hyades Sector EW-V c2-18,176.33,1,1,Hyades Sector EW-V c2-18 2,130,Class I gas giant,1049,false,true,1,0.0024,1050.0562215,1050.0531973337272,Hyades Sector EW-V c2-18,K (Yellow-Orange) Star,0,0,0.6352,Va,12818,4277,0.6352,Hyades Sector EW-V c2-18 2 h,1037,Icy body,92,1370.4896,-K (Yellow-Orange) Star-,0,false,,,false
Hyades Sector YT-Q b5-0,224.23,2,2,Hyades Sector YT-Q b5-0 A 6,130,Class I gas giant,994,false,true,2,0.0016,992.7704475,992.769176753014,Hyades Sector YT-Q b5-0 A,T Tauri Star,6,0,0.581,Va,208,2716,0.581,Hyades Sector YT-Q b5-0 A 6 h,986,Icy body,103,1157.7977,-T Tauri Star-T Tauri Star-,0,true,2163,VI,false
Antliae Sector FG-Y d48,202.10,1,1,Antliae Sector FG-Y d48 2,130,Gas giant with ammonia-based life,2646,false,true,1,0.0011,2648.3692364999997,2648.3676342361273,Antliae Sector FG-Y d48,F (White) Star,0,0,0.9345,VI,1788,6479,0.9345,Antliae Sector FG-Y d48 2 h,2637,Icy body,105,864.2431,-F (White) Star-,0,false,,,false
Hyades Sector YJ-A d34,273.33,1,1,Hyades Sector YJ-A d34 3,130,Class I gas giant,2438,false,true,1,0.0001,2437.839027,2437.8390148108047,Hyades Sector YJ-A d34,G (White-Yellow) Star,0,0,1.0797,Vab,832,5988,1.0797,Hyades Sector YJ-A d34 3 h,2449,Icy body,108,1473.7123,-G (White-Yellow) Star-,0,false,,,false
MET 20,110.99,2,2,MET 20 A 2,130,Gas giant with ammonia-based life,2531,false,true,2,0.0039,2539.536246,2539.51693275341,MET 20 A,G (White-Yellow) Star,0,0,0.9167,V,7576,5156,0.9167,MET 20 A 2 h,2514,Icy body,108,874.6481,-M (Red dwarf) Star-G (White-Yellow) Star-,1,true,2186,Va,false
HIP 109680,220.06,1,1,HIP 109680 2,130,Gas giant with ammonia-based life,1455,false,true,1,0.0038,1453.9009680000001,1453.8904707971162,HIP 109680,G (White-Yellow) Star,0,0,1.0954,IV,2370,6296,1.0954,HIP 109680 2 h,1465,Icy body,106,1320.4758,-G (White-Yellow) Star-,0,false,,,false
Synuefe II-I c26-13,293.13,2,2,Synuefe II-I c26-13 A 6,130,Gas giant with ammonia-based life,823,false,true,2,0.0002,822.4101404999999,822.410124051797,Synuefe II-I c26-13 A,K (Yellow-Orange) Star,1,0,0.6093,Va,582,3709,0.6093,Synuefe II-I c26-13 A 6 h,828,Icy body,93,895.4011,-K (Yellow-Orange) Star-M (Red dwarf) Star-,0,true,3113,Va,false
LP 861-12,66.52,1,1,LP 861-12 9,130,Class I gas giant,2836,false,true,1,0.0158,2877.26283,2876.9036676368373,LP 861-12,M (Red dwarf) Star,2,0,0.5888,V,1604,3467,0.5888,LP 861-12 9 h,2842,Icy body,46,1377.9111,-M (Red dwarf) Star-,1,true,3467,V,false
Lalande 4268,79.46,2,2,Lalande 4268 B 4,130,Class I gas giant,20777,false,true,2,0.0017,2732.3018775,2732.297929320934,Lalande 4268 B,K (Yellow-Orange) Star,0,20647,0.7578,Vab,3816,4926,1.2025,Lalande 4268 B 4 h,20775,Icy body,113,665.7123,-G (White-Yellow) Star-K (Yellow-Orange) Star-,1,false,,,false
Col 285 Sector UK-N c7-22,203.91,3,3,Col 285 Sector UK-N c7-22 C 8,130,Class I gas giant,132378,false,true,2,0.0026,1141.2244349999999,1141.2205776548908,Col 285 Sector UK-N c7-22 C,K (Yellow-Orange) Star,0,133433,0.6343,Va,240,3828,0.8094,Col 285 Sector UK-N c7-22 C 8 h,132368,Icy body,90,1186.1572,-K (Yellow-Orange) Star-K (Yellow-Orange) Star-M (Red dwarf) Star-,0,true,2480,Va,false
Grudi,113.57,1,1,Grudi 8,130,Class I gas giant,2437,false,true,1,0.0009,2438.5875345,2438.5865468718484,Grudi,G (White-Yellow) Star,0,0,1.1204,Vab,1022,5786,1.1204,Grudi 8 h,2422,Icy body,107,1267.1895,-G (White-Yellow) Star-,1,false,,,false
Lalande 40728,133.57,1,1,Lalande 40728 7,130,Class I gas giant,3318,false,true,1,0.0116,3357.0561375,3356.830267164535,Lalande 40728,F (White) Star,0,0,1.267,V,5624,7133,1.267,Lalande 40728 7 h,3332,Icy body,111,966.5679,-F (White) Star-,1,false,,,false
HIP 104766,250.51,2,2,HIP 104766 B 3,130,Class I gas giant,54135,false,false,0,0.0084,1503.5519655,1503.4989192509047,HIP 104766 B,K (Yellow-Orange) Star,0,54583,0.7199,Va,3184,4101,1.2359,HIP 104766 B 3 h,54130,Icy body,104,1030.9646,-F (White) Star-K (Yellow-Orange) Star-,0,false,,,false
Col 285 Sector OX-S c4-2,227.05,1,1,Col 285 Sector OX-S c4-2 5,130,Class I gas giant,1417,false,true,1,0.0069,1407.1441995,1407.1107020336226,Col 285 Sector OX-S c4-2,G (White-Yellow) Star,0,0,0.8331,Vab,11760,5299,0.8331,Col 285 Sector OX-S c4-2 5 h,1410,Icy body,111,1135.4883,-G (White-Yellow) Star-,0,false,,,false
HIP 21807,288.90,3,3,HIP 21807 C 2,130,Class I gas giant,429520,false,true,2,0.005,1860.0411375,1860.0178868404637,HIP 21807 C,K (Yellow-Orange) Star,0,431314,0.7985,Vab,2640,4751,1.1693,HIP 21807 C 2 h,429535,Icy body,95,1895.116,-F (White) Star-G (White-Yellow) Star-K (Yellow-Orange) Star-,0,false,,,false
