===== PARAMETERS =====
Total rows : 437
Reference system: Sol
Area of search : 1000 ly
Max distance from star 1000 ls
Gas types Class III gas giant +Class IV gas giant +Class V gas giant +Gas giant with ammonia-based life +Gas giant with water-based life +Hellium-rich gas giant
Ref star types : M (Red giant) Star + M (Red dwarf) Star + M (Red super giant) Star + T Tauri Star
==========
System name,Gas Body Name,Distance from Sol (ly),Gas Body Surface Temperature (K),Gas Sub Type,Gas distance from arrival (ls),Gas has multiple stars ?,Ref Star Name,Ref Star Sub Type,Ref Star Temp Class,Ref Star Distance from arrival (ls),Ref Star Radius,Ref Star Luminosity,Ref Star Age,Ref Star Temperature,8th Moon Name,8th Moon Distance from arrival (ls),8th Moon Sub Type,8th Moon Surface Temperature (K),8th Moon Radius
Praea Euq PI-B c8,Praea Euq PI-B c8 4,365.62,192,Gas giant with water-based life,839.3884,false,Praea Euq PI-B c8,M (Red dwarf) Star,2,0,0.6799,Va,690,3402,Praea Euq PI-B c8 4 g a,839.3365,Icy body,91,751.6978
Col 173 Sector FO-G b27-8,Col 173 Sector FO-G b27-8 1,873.79,192,Gas giant with water-based life,714.8748,false,Col 173 Sector FO-G b27-8,M (Red dwarf) Star,5,0,0.4727,Va,10496,3027,Col 173 Sector FO-G b27-8 1 f a,722.8774,Icy body,77,1375.4014
LBN 623 Sector TD-S b4-0,LBN 623 Sector TD-S b4-0 10,539.94,192,Gas giant with water-based life,700.3868,false,LBN 623 Sector TD-S b4-0,M (Red dwarf) Star,2,0,0.6279,Va,9782,3454,LBN 623 Sector TD-S b4-0 10 g,697.4985,Icy body,96,2097.7356
Vela Dark Region DL-Y d75,Vela Dark Region DL-Y d75 9,975.93,189,Gas giant with water-based life,706.9012,false,Vela Dark Region DL-Y d75,M (Red dwarf) Star,2,0,0.5346,Va,1404,3433,Vela Dark Region DL-Y d75 9 g,702.9174,Icy body,93,1832.8456
Synuefe GV-W b47-1,Synuefe GV-W b47-1 1,559.19,189,Gas giant with water-based life,575.8033,false,Synuefe GV-W b47-1,M (Red dwarf) Star,3,0,0.5721,,7154,3391,Synuefe GV-W b47-1 1 h,585.5718,Icy body,98,1296.2407
Eskimori,Eskimori ABC 1,138.71,188,Gas giant with water-based life,975.4158,true,Eskimori C,M (Red dwarf) Star,9,466.8021,0.3922,Va,3438,2183,Eskimori ABC 1 h,985.3153,Icy body,81,1239.4945
Taurus Dark Region FG-X b1-0,Taurus Dark Region FG-X b1-0 2,521.53,188,Gas giant with water-based life,738.6993,false,Taurus Dark Region FG-X b1-0,M (Red dwarf) Star,3,0,0.5457,Va,3948,3395,Taurus Dark Region FG-X b1-0 2 g,753.7601,Icy body,85,2271.4241
Col 285 Sector DA-X b15-1,Col 285 Sector DA-X b15-1 1,204.73,188,Gas giant with water-based life,916.3373,false,Col 285 Sector DA-X b15-1,M (Red dwarf) Star,5,0,0.4784,Va,8182,3061,Col 285 Sector DA-X b15-1 1 h,911.9651,Icy body,115,1172.2305
Synuefe CP-N b53-0,Synuefe CP-N b53-0 3,709.43,188,Gas giant with water-based life,823.8676,false,Synuefe CP-N b53-0,M (Red dwarf) Star,6,0,0.4212,Va,2230,2625,Synuefe CP-N b53-0 3 h,840.4494,Icy body,59,1414.4845
Muthniu,Muthniu ABC 1,99.62,187,Gas giant with water-based life,634.1688,true,Muthniu A,M (Red dwarf) Star,4,0,0.5677,Va,2138,3161,Muthniu ABC 1 h,641.8132,Icy body,87,1962.3575
Praea Euq LE-V b30-4,Praea Euq LE-V b30-4 A 11,984.62,186,Gas giant with water-based life,794.9113,false,Praea Euq LE-V b30-4 A,M (Red dwarf) Star,2,0,0.5922,,266,3589,Praea Euq LE-V b30-4 A 11 h,791,Icy body,103,1152.7914
Col 359 Sector PD-X b3-6,Col 359 Sector PD-X b3-6 2,640.57,186,Gas giant with water-based life,821,false,Col 359 Sector PD-X b3-6,M (Red dwarf) Star,5,0,0.5089,,10140,3076,Col 359 Sector PD-X b3-6 2 g,807,Icy body,74,1772.3855
Hyades Sector UE-Y b1-5,Hyades Sector UE-Y b1-5 AB 2,251.06,185,Gas giant with water-based life,964,true,Hyades Sector UE-Y b1-5 A,M (Red dwarf) Star,9,0,0.3611,,2528,2313,Hyades Sector UE-Y b1-5 AB 2 g,954,Icy body,47,1842.3156
Wregoe XV-V b57-0,Wregoe XV-V b57-0 2,410.22,185,Gas giant with water-based life,543.0211,false,Wregoe XV-V b57-0,M (Red dwarf) Star,4,0,0.5461,Va,4536,3156,Wregoe XV-V b57-0 2 h,534.7511,Icy body,94,1902.1211
Hyades Sector QY-Z b6,Hyades Sector QY-Z b6 3,259.00,184,Gas giant with water-based life,537.1115,false,Hyades Sector QY-Z b6,M (Red dwarf) Star,6,0,0.4339,Va,1010,2681,Hyades Sector QY-Z b6 3 f a,545.8034,Icy body,75,793.8539
Wregoe JN-U b31-0,Wregoe JN-U b31-0 2,449.92,184,Gas giant with water-based life,419,false,Wregoe JN-U b31-0,M (Red dwarf) Star,1,0,0.6115,,11062,3644,Wregoe JN-U b31-0 2 f,423,Icy body,123,1179.1194
Dain,Dain A 1,121.88,183,Gas giant with water-based life,605.5978,false,Dain A,M (Red dwarf) Star,4,0,0.6145,Va,4398,3101,Dain A 1 g,610.5377,Icy body,103,1323.6726
Col 285 Sector VK-A b16-0,Col 285 Sector VK-A b16-0 2,213.55,183,Gas giant with water-based life,695,false,Col 285 Sector VK-A b16-0,M (Red dwarf) Star,5,0,0.5189,Va,6656,3012,Col 285 Sector VK-A b16-0 2 f,697,Icy body,80,1922.5045
Albangait,Albangait 1,117.66,183,Gas giant with water-based life,558.6245,false,Albangait,M (Red dwarf) Star,5,0,0.5034,Va,1242,2975,Albangait 1 g,557.8857,Icy body,84,1265.8615
Arietis Sector AF-Z b1,Arietis Sector AF-Z b1 AB 2,206.61,182,Gas giant with water-based life,639.8911,true,Arietis Sector AF-Z b1 B,M (Red dwarf) Star,9,54.7844,0.3248,VI,268,2121,Arietis Sector AF-Z b1 AB 2 g,646.876,Icy body,97,1551.037
Col 359 Sector CF-D b14-3,Col 359 Sector CF-D b14-3 ABC 2,519.19,182,Gas giant with water-based life,626.2919,true,Col 359 Sector CF-D b14-3 A,M (Red dwarf) Star,5,0,0.5219,Va,11236,2961,Col 359 Sector CF-D b14-3 ABC 2 h,618.9684,Icy body,84,1853.0532
Igaenisan,Igaenisan A 2,97.19,182,Gas giant with water-based life,723.8611,false,Igaenisan A,M (Red dwarf) Star,3,0,0.5316,Va,2842,3395,Igaenisan A 2 g,729.76,Icy body,89,1834.2137
Synuefai AR-C b46-5,Synuefai AR-C b46-5 2,380.53,182,Gas giant with water-based life,273,false,Synuefai AR-C b46-5,M (Red dwarf) Star,7,0,0.4378,,7580,2593,Synuefai AR-C b46-5 2 h,269,Icy body,96,1235.8365
Vela Dark Region GM-V b2-7,Vela Dark Region GM-V b2-7 4,946.45,182,Gas giant with water-based life,973.0475,false,Vela Dark Region GM-V b2-7,M (Red dwarf) Star,4,0,0.5524,Va,7236,3198,Vela Dark Region GM-V b2-7 4 h,973,Icy body,73,1086.729
Wregoe YK-P d5-17,Wregoe YK-P d5-17 4,576.55,182,Gas giant with water-based life,694.7688,false,Wregoe YK-P d5-17,M (Red giant) Star,9,0,0.4572,IVb,2112,2321,Wregoe YK-P d5-17 4 g,693.789,Icy body,107,1530.6979
Col 359 Sector HV-Z b29-0,Col 359 Sector HV-Z b29-0 3,781.83,182,Gas giant with water-based life,788.8641,false,Col 359 Sector HV-Z b29-0,M (Red dwarf) Star,5,0,0.5699,Va,432,3087,Col 359 Sector HV-Z b29-0 3 g,800.1588,Icy body,78,1159.465
IC 2602 Sector ZF-V b3-8,IC 2602 Sector ZF-V b3-8 3,496.22,182,Gas giant with water-based life,783.5873,false,IC 2602 Sector ZF-V b3-8,M (Red dwarf) Star,9,0,0.3906,,5160,2199,IC 2602 Sector ZF-V b3-8 3 g,787.8196,Icy body,57,2278.5403
Nyanomam,Nyanomam 13,172.91,181,Gas giant with water-based life,780.1808,false,Nyanomam,M (Red dwarf) Star,2,0,0.5609,Va,268,3405,Nyanomam 13 f a,777.7481,Icy body,88,732.1536
Funjila,Funjila 3,156.18,181,Gas giant with water-based life,573.4268,false,Funjila,M (Red dwarf) Star,5,0,0.4789,Va,3940,2966,Funjila 3 f a,580.7039,Icy body,81,1114.1997
Synuefe SC-I b43-1,Synuefe SC-I b43-1 4,572.31,181,Gas giant with water-based life,341.6316,false,Synuefe SC-I b43-1,M (Red dwarf) Star,4,0,0.5303,Va,11694,3226,Synuefe SC-I b43-1 4 f,335.5284,Icy body,114,1724.947
Col 135 Sector ZK-X c1-9,Col 135 Sector ZK-X c1-9 7,973.74,181,Gas giant with water-based life,807.4936,false,Col 135 Sector ZK-X c1-9,M (Red dwarf) Star,1,0,0.6318,,6782,3678,Col 135 Sector ZK-X c1-9 7 f a,806.7144,Icy body,97,954.7872
Arietis Sector OC-V b2-1,Arietis Sector OC-V b2-1 B 3,195.47,180,Gas giant with water-based life,126245.7344,false,Arietis Sector OC-V b2-1 B,M (Red dwarf) Star,5,126424.9766,0.4553,Va,1034,2850,Arietis Sector OC-V b2-1 B 3 g,126269.4844,Icy body,114,1985.8618
Praea Euq MK-U b30-4,Praea Euq MK-U b30-4 9,925.35,179,Gas giant with water-based life,873.3284,false,Praea Euq MK-U b30-4,M (Red dwarf) Star,1,0,0.6341,Va,636,3684,Praea Euq MK-U b30-4 9 g,887.6646,Icy body,91,1698.5251
Synuefe GF-D b58-0,Synuefe GF-D b58-0 3,439.81,179,Gas giant with water-based life,663.6364,false,Synuefe GF-D b58-0,M (Red dwarf) Star,6,0,0.4135,Va,10728,2732,Synuefe GF-D b58-0 3 g,672.7646,Icy body,134,2512.3601
Synuefe YM-Z b47-3,Synuefe YM-Z b47-3 4,832.44,179,Gas giant with water-based life,825.264,false,Synuefe YM-Z b47-3,M (Red dwarf) Star,5,0,0.4826,Va,424,2834,Synuefe YM-Z b47-3 4 g a,820.4352,Icy body,159,561.8694
Synuefai CA-N b25-0,Synuefai CA-N b25-0 B 1,660.27,179,Gas giant with water-based life,15786.1973,false,Synuefai CA-N b25-0 B,M (Red dwarf) Star,4,15855.2695,0.6207,Va,5486,3167,Synuefai CA-N b25-0 B 1 f,15774.2451,Icy body,106,1667.7656
Arietis Sector SD-T b3-1,Arietis Sector SD-T b3-1 1,216.56,178,Gas giant with water-based life,325.5446,false,Arietis Sector SD-T b3-1,M (Red dwarf) Star,3,0,0.5494,Va,3672,3271,Arietis Sector SD-T b3-1 1 g,320.7873,Rocky body,165,1040.6731
Trocmii,Trocmii ABC 4,202.45,177,Gas giant with water-based life,1025.4949,true,Trocmii C,M (Red dwarf) Star,6,44.0685,0.4627,Va,4790,2774,Trocmii ABC 4 g a,1020.6642,Icy body,91,561.9406
Brulidji,Brulidji AB 1,224.03,176,Gas giant with water-based life,1757.1423,true,Brulidji B,M (Red dwarf) Star,9,772.9038,0.3746,Va,11776,2171,Brulidji AB 1 h,1739.8408,Icy body,60,1932.545
Gran,Gran 4,105.22,176,Gas giant with water-based life,622.9722,false,Gran,M (Red dwarf) Star,5,0,0.5745,Va,1652,3096,Gran 4 h,616.0042,Icy body,89,1472.0315
Col 285 Sector MV-H b25-2,Col 285 Sector MV-H b25-2 3,209.76,175,Gas giant with water-based life,856,false,Col 285 Sector MV-H b25-2,M (Red dwarf) Star,3,0,0.5055,Va,3316,3335,Col 285 Sector MV-H b25-2 3 g,855,Icy body,79,1726.2729
Hyades Sector AF-Q b5-2,Hyades Sector AF-Q b5-2 9,210.05,175,Gas giant with water-based life,882.8278,false,Hyades Sector AF-Q b5-2,M (Red dwarf) Star,5,0,0.6,Va,358,2963,Hyades Sector AF-Q b5-2 9 g,874.5308,Icy body,76,2328.9985
Wredguia JS-A b31-0,Wredguia JS-A b31-0 4,856.94,175,Gas giant with water-based life,830,false,Wredguia JS-A b31-0,M (Red dwarf) Star,5,0,0.4438,,11016,2818,Wredguia JS-A b31-0 4 g,836,Icy body,118,1926.0597
Wredguia DW-A b28-0,Wredguia DW-A b28-0 AB 1,872.25,175,Gas giant with water-based life,829.6948,true,Wredguia DW-A b28-0 A,M (Red dwarf) Star,2,0,0.526,Va,12850,3543,Wredguia DW-A b28-0 AB 1 h,848.3917,Icy body,92,1952.2131
Wredguia AY-R b18-0,Wredguia AY-R b18-0 11,904.01,174,Gas giant with water-based life,918,false,Wredguia AY-R b18-0,M (Red dwarf) Star,5,0,0.5269,,288,2890,Wredguia AY-R b18-0 11 f a,913,Icy body,171,816.0786
Bamini,Bamini 2,168.24,173,Gas giant with water-based life,976.0964,false,Bamini,M (Red dwarf) Star,2,0,0.6026,Va,5450,3414,Bamini 2 g,988.6697,Icy body,79,2236.9675
Praea Euq OX-T b19-0,Praea Euq OX-T b19-0 10,815.16,173,Gas giant with water-based life,578.0926,false,Praea Euq OX-T b19-0,M (Red dwarf) Star,2,0,0.5973,Va,244,3571,Praea Euq OX-T b19-0 10 h,569.0098,Icy body,104,1316.2738
Chuevik,Chuevik 3,117.68,172,Gas giant with water-based life,656.0791,false,Chuevik,M (Red dwarf) Star,6,0,0.5041,Va,5456,2624,Chuevik 3 g,658.8654,Icy body,133,2101.2778
Synuefe UI-T c19-7,Synuefe UI-T c19-7 BC 1,519.86,172,Gas giant with water-based life,16450,true,Synuefe UI-T c19-7 B,M (Red dwarf) Star,5,15973,0.4872,,4644,2916,Synuefe UI-T c19-7 BC 1 f,16432,Icy body,75,2100.9297
Col 285 Sector JF-U b17-3,Col 285 Sector JF-U b17-3 5,333.73,171,Gas giant with water-based life,795,false,Col 285 Sector JF-U b17-3,M (Red dwarf) Star,5,0,0.5416,,3754,3032,Col 285 Sector JF-U b17-3 5 g a,801,Icy body,74,663.0994
IC 2391 Sector ZE-A d22,IC 2391 Sector ZE-A d22 AB 1,557.38,171,Gas giant with water-based life,877.7902,true,IC 2391 Sector ZE-A d22 B,M (Red dwarf) Star,5,123.6408,0.4886,Va,918,3092,IC 2391 Sector ZE-A d22 AB 1 h,871.9401,Rocky Ice world,112,679.3169
Scorpii Sector TT-R b4-6,Scorpii Sector TT-R b4-6 1,178.03,171,Gas giant with water-based life,618.2709,false,Scorpii Sector TT-R b4-6,M (Red dwarf) Star,2,0,0.6085,Va,4898,3425,Scorpii Sector TT-R b4-6 1 g,616.7811,Icy body,98,1357.4352
ALS 16791,ALS 16791 B 9,105.22,170,Gas giant with water-based life,59764.2734,false,ALS 16791 B,M (Red dwarf) Star,6,59185.3281,0.4325,Va,324,2720,ALS 16791 B 9 f,59759.5234,Icy body,118,2097.1262
IC 2391 Sector OJ-P b6-0,IC 2391 Sector OJ-P b6-0 4,539.05,170,Gas giant with water-based life,730.9846,false,IC 2391 Sector OJ-P b6-0,M (Red dwarf) Star,8,0,0.3913,,3746,2457,IC 2391 Sector OJ-P b6-0 4 g,734.351,Icy body,57,1349.5236
Praea Euq WO-S b32-1,Praea Euq WO-S b32-1 A 11,955.44,170,Gas giant with water-based life,921.2183,false,Praea Euq WO-S b32-1 A,M (Red dwarf) Star,5,0,0.448,Va,240,2839,Praea Euq WO-S b32-1 A 11 h,919.1287,Icy body,118,1637.5853
Singarli,Singarli 1,111.88,169,Gas giant with water-based life,632.7014,false,Singarli,M (Red dwarf) Star,5,0,0.4944,Va,2288,2958,Singarli 1 f,629.3912,Icy body,77,1247.0221
Swoiwns ZN-J b13-1,Swoiwns ZN-J b13-1 1,714.36,169,Gas giant with water-based life,394.1789,false,Swoiwns ZN-J b13-1,M (Red dwarf) Star,3,0,0.5402,Va,10432,3365,Swoiwns ZN-J b13-1 1 h,395.6201,Icy body,111,1624.5222
Col 359 Sector UH-S b5-6,Col 359 Sector UH-S b5-6 3,512.97,169,Gas giant with water-based life,856.034,false,Col 359 Sector UH-S b5-6,M (Red dwarf) Star,3,0,0.5742,Va,2548,3300,Col 359 Sector UH-S b5-6 3 g,861.5255,Icy body,81,1432.9012
Synuefe VO-P c22-18,Synuefe VO-P c22-18 AB 1,492.41,168,Gas giant with water-based life,1955,true,Synuefe VO-P c22-18 B,M (Red dwarf) Star,9,1037,0.3973,,7834,2295,Synuefe VO-P c22-18 AB 1 g a,1983.9543,Icy body,106,612.7262
Wregoe EM-U c16-10,Wregoe EM-U c16-10 6,538.90,168,Gas giant with water-based life,969,false,Wregoe EM-U c16-10,M (Red dwarf) Star,3,0,0.6324,,9728,3384,Wregoe EM-U c16-10 6 h,978,Icy body,82,2066.6855
Synuefai BJ-G b57-2,Synuefai BJ-G b57-2 7,559.61,168,Gas giant with water-based life,460.3571,false,Synuefai BJ-G b57-2,M (Red dwarf) Star,6,0,0.5098,Va,5656,2710,Synuefai BJ-G b57-2 7 g a,454.3731,Icy body,85,645.7214
Wredguia CR-V b29-3,Wredguia CR-V b29-3 4,457.24,168,Gas giant with water-based life,949.4682,false,Wredguia CR-V b29-3,M (Red dwarf) Star,6,0,0.4384,Va,4050,2716,Wredguia CR-V b29-3 4 g,959.6392,Icy body,58,1569.0503
Col 285 Sector NF-R b20-3,Col 285 Sector NF-R b20-3 2,156.69,167,Gas giant with water-based life,638.9481,false,Col 285 Sector NF-R b20-3,M (Red dwarf) Star,6,0,0.5596,Va,5016,2799,Col 285 Sector NF-R b20-3 2 f,624,Icy body,76,1697.8657
Krataxo,Krataxo A 7,157.25,166,Gas giant with water-based life,447.6209,false,Krataxo A,M (Red dwarf) Star,4,0,0.5546,Vz,222,3201,Krataxo A 7 g,444.9333,Icy body,108,1471.449
Tujia,Tujia C 9,114.54,166,Gas giant with water-based life,14460.8984,false,Tujia C,M (Red dwarf) Star,4,13872.29,0.5345,Va,378,3240,Tujia C 9 h,14452.1934,Icy body,94,1746.374
Col 285 Sector OA-B b15-3,Col 285 Sector OA-B b15-3 8,184.52,165,Gas giant with water-based life,633.2342,false,Col 285 Sector OA-B b15-3,M (Red dwarf) Star,4,0,0.5798,Va,252,3242,Col 285 Sector OA-B b15-3 8 g,629.0536,Icy body,92,1555.2842
Col 285 Sector VK-M c8-4,Col 285 Sector VK-M c8-4 3,191.37,163,Gas giant with water-based life,611.7322,false,Col 285 Sector VK-M c8-4,M (Red dwarf) Star,2,0,0.6649,Va,5424,3582,Col 285 Sector VK-M c8-4 3 g a,598.4774,Icy body,104,513.7091
Enetet,Enetet 10,131.04,163,Gas giant with water-based life,934.3688,false,Enetet,M (Red dwarf) Star,5,0,0.507,Va,256,3002,Enetet 10 g,926.2576,Icy body,120,1681.5415
Synuefe GJ-G b44-9,Synuefe GJ-G b44-9 3,765.51,163,Gas giant with water-based life,574.3995,false,Synuefe GJ-G b44-9,M (Red dwarf) Star,9,0,0.4045,VI,13047,2145,Synuefe GJ-G b44-9 3 h,562.4137,Icy body,56,1061.9739
Edinura,Edinura 9,250.30,162,Gas giant with water-based life,784.3759,false,Edinura,M (Red dwarf) Star,5,0,0.547,Va,1668,3014,Edinura 9 h,775.8647,Icy body,75,1975.3982
Synuefai DI-K b41-2,Synuefai DI-K b41-2 4,707.16,162,Gas giant with water-based life,905,false,Synuefai DI-K b41-2,M (Red dwarf) Star,5,0,0.4811,,10536,3098,Synuefai DI-K b41-2 4 f,894,Icy body,130,2290.6687
Stock 1 Sector DL-X d1-48,Stock 1 Sector DL-X d1-48 7,883.68,162,Gas giant with water-based life,539.9867,false,Stock 1 Sector DL-X d1-48,M (Red dwarf) Star,3,0,0.5283,Va,1186,3272,Stock 1 Sector DL-X d1-48 7 g,535.093,Icy body,94,1421.9414
Wregoe AR-Y b42-4,Wregoe AR-Y b42-4 2,819.14,162,Gas giant with water-based life,663.7712,false,Wregoe AR-Y b42-4,M (Red dwarf) Star,6,0,0.5365,,4418,2795,Wregoe AR-Y b42-4 2 h,671.8119,Icy body,74,1041.6401
Synuefai ZL-O b51-0,Synuefai ZL-O b51-0 4,766.89,162,Gas giant with water-based life,718.3596,false,Synuefai ZL-O b51-0,M (Red dwarf) Star,9,0,0.4318,Va,500,2388,Synuefai ZL-O b51-0 4 h,725.3008,Icy body,60,1076.4196
Col 285 Sector RZ-V b3-0,Col 285 Sector RZ-V b3-0 A 1,372.96,161,Gas giant with water-based life,915.1841,false,Col 285 Sector RZ-V b3-0 A,M (Red dwarf) Star,3,0,0.6149,Va,4874,3327,Col 285 Sector RZ-V b3-0 A 1 g,906.68,Icy body,81,2588.7739
HIP 76017,HIP 76017 3,224.33,161,Gas giant with water-based life,716.4185,false,HIP 76017,M (Red dwarf) Star,5,0,0.5144,V,8486,2944,HIP 76017 3 g,709.4688,Icy body,101,1256.1885
R CrA Sector HR-V b2-5,R CrA Sector HR-V b2-5 2,384.78,160,Gas giant with water-based life,459.9225,false,R CrA Sector HR-V b2-5,M (Red dwarf) Star,8,0,0.4352,Va,2364,2469,R CrA Sector HR-V b2-5 2 h,451.065,Icy body,208,1462.0881
Synuefai WG-J b56-3,Synuefai WG-J b56-3 8,327.18,160,Gas giant with water-based life,732.2025,false,Synuefai WG-J b56-3,M (Red dwarf) Star,7,0,0.4221,Va,340,2523,Synuefai WG-J b56-3 8 h,715.2874,Icy body,58,1077.249
Chamaeleon Sector BQ-P b5-2,Chamaeleon Sector BQ-P b5-2 5,629.58,160,Gas giant with water-based life,937.0115,false,Chamaeleon Sector BQ-P b5-2,M (Red dwarf) Star,9,0,0.4249,,5358,2249,Chamaeleon Sector BQ-P b5-2 5 e a,944.0456,Icy body,51,720.7295
M7 Sector ZJ-Z c0,M7 Sector ZJ-Z c0 B 3,793.22,160,Gas giant with water-based life,14763.8994,false,M7 Sector ZJ-Z c0 B,M (Red dwarf) Star,3,15704.7275,0.5537,Va,6916,3292,M7 Sector ZJ-Z c0 B 3 g,14753.2793,Icy body,102,2056.1436
Col 285 Sector RQ-H b25-3,Col 285 Sector RQ-H b25-3 1,192.91,159,Gas giant with water-based life,752.8192,false,Col 285 Sector RQ-H b25-3,M (Red dwarf) Star,3,0,0.5377,Va,2192,3282,Col 285 Sector RQ-H b25-3 1 h,761.8036,Icy body,80,1088.955
Hyades Sector ZA-V b3-0,Hyades Sector ZA-V b3-0 2,205.05,159,Gas giant with water-based life,780,false,Hyades Sector ZA-V b3-0,M (Red dwarf) Star,2,0,0.6403,Va,4940,3563,Hyades Sector ZA-V b3-0 2 g,785,Icy body,92,1555.8566
Col 285 Sector FS-O b21-4,Col 285 Sector FS-O b21-4 1,181.87,159,Gas giant with water-based life,224,false,Col 285 Sector FS-O b21-4,M (Red dwarf) Star,6,0,0.4898,Va,12458,2771,Col 285 Sector FS-O b21-4 1 f,224,Icy body,114,1597.1527
Praea Euq NS-R c5-0,Praea Euq NS-R c5-0 9,791.35,159,Gas giant with water-based life,813.6862,false,Praea Euq NS-R c5-0,M (Red dwarf) Star,2,0,0.5807,Va,446,3425,Praea Euq NS-R c5-0 9 f a,814.4286,Icy body,84,741.6538
Pleiades Sector GC-L b8-1,Pleiades Sector GC-L b8-1 6,312.83,158,Gas giant with water-based life,639.8903,false,Pleiades Sector GC-L b8-1,M (Red dwarf) Star,6,0,0.4067,Va,624,2637,Pleiades Sector GC-L b8-1 6 g,636.8643,Icy body,116,1629.307
Praea Euq LR-D b12-9,Praea Euq LR-D b12-9 A 1,564.95,158,Gas giant with water-based life,411.4058,false,Praea Euq LR-D b12-9 A,M (Red dwarf) Star,7,0,0.4564,Va,12364,2596,Praea Euq LR-D b12-9 A 1 h,406.93,Icy body,82,1247.6055
Praea Euq DA-O b7-2,Praea Euq DA-O b7-2 3,547.80,158,Gas giant with water-based life,456,false,Praea Euq DA-O b7-2,M (Red dwarf) Star,5,0,0.4821,,7478,3059,Praea Euq DA-O b7-2 3 g,456,Icy body,90,1305.9845
Col 285 Sector XY-T b18-6,Col 285 Sector XY-T b18-6 AB 3,324.44,158,Gas giant with water-based life,705.4369,true,Col 285 Sector XY-T b18-6 B,M (Red dwarf) Star,6,5.1535,0.4778,Va,4214,2686,Col 285 Sector XY-T b18-6 AB 3 h,696.0491,Icy body,91,1214.9525
Swoilz AH-Z b6-11,Swoilz AH-Z b6-11 2,874.40,158,Gas giant with water-based life,615.8827,false,Swoilz AH-Z b6-11,M (Red dwarf) Star,4,0,0.4893,Va,5502,3204,Swoilz AH-Z b6-11 2 g,628.3306,Icy body,82,1540.9615
HK Aquarii,HK Aquarii 1,72.68,157,Gas giant with water-based life,353.9482,false,HK Aquarii,M (Red dwarf) Star,3,0,0.5599,V,9674,3260,HK Aquarii 1 h,357.9164,Icy body,100,1035.2236
Wregoe HO-G b24-2,Wregoe HO-G b24-2 A 1,552.31,157,Gas giant with water-based life,488.3672,false,Wregoe HO-G b24-2 A,M (Red dwarf) Star,2,0,0.6081,Va,4756,3548,Wregoe HO-G b24-2 A 1 h,487.787,Icy body,119,736.3952
Praea Euq UV-S b5-0,Praea Euq UV-S b5-0 2,484.98,157,Gas giant with water-based life,724.8613,false,Praea Euq UV-S b5-0,M (Red dwarf) Star,3,0,0.5948,Va,5062,3345,Praea Euq UV-S b5-0 2 g,725.4134,Icy body,86,1179.425
Col 359 Sector XW-X b16-2,Col 359 Sector XW-X b16-2 3,810.37,157,Gas giant with water-based life,604,false,Col 359 Sector XW-X b16-2,M (Red dwarf) Star,1,0,0.6297,,8792,3604,Col 359 Sector XW-X b16-2 3 h,592,Icy body,103,1334.428
Wredguia ID-Y c15-2,Wredguia ID-Y c15-2 BC 1,953.71,157,Gas giant with water-based life,21473,true,Wredguia ID-Y c15-2 B,M (Red dwarf) Star,6,21822,0.4934,,228,2772,Wredguia ID-Y c15-2 BC 1 h,21475,Icy body,85,2311.7913
Synuefe WY-P b38-2,Synuefe WY-P b38-2 1,446.27,157,Gas giant with water-based life,782.106,false,Synuefe WY-P b38-2,M (Red dwarf) Star,2,0,0.6042,Va,13018,3558,Synuefe WY-P b38-2 1 f,780.4434,Icy body,90,1161.0698
Wregoe CS-J c22-28,Wregoe CS-J c22-28 AB 1,344.50,156,Gas giant with water-based life,1605.8646,true,Wregoe CS-J c22-28 B,M (Red dwarf) Star,4,822.5408,0.5352,Va,1644,3153,Wregoe CS-J c22-28 AB 1 h,1599.4139,Rocky body,132,796.476
Col 359 Sector YA-T c18-7,Col 359 Sector YA-T c18-7 2,942.87,156,Gas giant with water-based life,815.8832,false,Col 359 Sector YA-T c18-7,M (Red dwarf) Star,2,0,0.6206,,3122,3510,Col 359 Sector YA-T c18-7 2 g,827.1636,Icy body,87,1715.1333
Synuefe XL-L b53-0,Synuefe XL-L b53-0 9,482.71,156,Gas giant with water-based life,699.8718,false,Synuefe XL-L b53-0,M (Red dwarf) Star,9,0,0.4249,Vz,222,2340,Synuefe XL-L b53-0 9 f a,704.3726,Icy body,57,1153.1313
Wredguia WF-J b24-0,Wredguia WF-J b24-0 2,997.66,155,Gas giant with water-based life,955,false,Wredguia WF-J b24-0,M (Red dwarf) Star,4,0,0.5687,,2916,3136,Wredguia WF-J b24-0 2 h,958,Icy body,130,1871.4258
Wregoe BF-A c29-3,Wregoe BF-A c29-3 B 1,742.38,155,Gas giant with water-based life,32541,false,Wregoe BF-A c29-3 B,M (Red dwarf) Star,4,33106,0.5667,,4298,3194,Wregoe BF-A c29-3 B 1 g,32545,Icy body,104,1677.0874
Lengur,Lengur 1,157.02,154,Gas giant with water-based life,682.1632,false,Lengur,M (Red dwarf) Star,1,0,0.6355,Va,6602,3600,Lengur 1 g,699.6672,Icy body,97,1167.4314
Col 285 Sector WT-Z b13-0,Col 285 Sector WT-Z b13-0 9,277.69,153,Gas giant with water-based life,961.9493,false,Col 285 Sector WT-Z b13-0,T Tauri Star,9,0,0.5283,Va,208,2363,Col 285 Sector WT-Z b13-0 9 g,948.4774,Icy body,54,1656.366
