System name,Distance from Sol (ly),Counting moons of moons,System stars count,System suitable stars count,Gas Body Name,Gas Body Surface Temperature (K),Gas Sub Type,Gas distance from arrival (ls),Gas has multiple stars ?,Gas star as orbit center ?,Gas orbit centers count,Gas orbital eccentricity,Gas semi major axis (ls),Gas semi minor axis (ls),Ref Star Name,Ref Star Sub Type,Ref Star Temp Class,Ref Star Distance from arrival (ls),Ref Star Radius,Ref Star Luminosity,Ref Star Age,Ref Star Temperature,Biggest Suitable Star Radius,8th Moon Name,8th Moon Distance from arrival (ls),8th Moon Sub Type,8th Moon Surface Temperature (K),8th Moon Radius,Star Types,Is populated,Has M or TT Star ?,Coldest M or TT Star temp.,Coldest M or TT Star lum.,Has Toroid Station
Piscium Sector GD-I a10-0,67.33,true,1,1,Piscium Sector GD-I a10-0,969,T (Brown dwarf) Star,0,false,false,0,,0,0,Piscium Sector GD-I a10-0,T (Brown dwarf) Star,9,0,0.1719,V,13047,969,0.1719,Piscium Sector GD-I a10-0 6,2714,Icy body,20,2590.0212,-T (Brown dwarf) Star-,0,false,,,false
Col 285 Sector AJ-R a34-0,82.36,true,1,1,Col 285 Sector AJ-R a34-0,968,T (Brown dwarf) Star,0,false,false,0,,0,0,Col 285 Sector AJ-R a34-0,T (Brown dwarf) Star,9,0,0.178,V,12866,968,0.178,Col 285 Sector AJ-R a34-0 6,2246,Icy body,20,4498.5166,-T (Brown dwarf) Star-,0,false,,,false
Puppis Sector ZP-P a5-2,52.50,true,1,1,Puppis Sector ZP-P a5-2,966,T (Brown dwarf) Star,0,false,false,0,,0,0,Puppis Sector ZP-P a5-2,T (Brown dwarf) Star,9,0,0.1768,V,12833,966,0.1768,Puppis Sector ZP-P a5-2 5,2404,Icy body,20,5083.0259,-T (Brown dwarf) Star-,0,false,,,false
Alrai Sector VO-R a4-2,82.80,true,1,1,Alrai Sector VO-R a4-2,966,T (Brown dwarf) Star,0,false,false,0,,0,0,Alrai Sector VO-R a4-2,T (Brown dwarf) Star,9,0,0.1565,V,682,966,0.1565,Alrai Sector VO-R a4-2 7,2693,Icy body,20,6891.562,-T (Brown dwarf) Star-,0,false,,,false
Core Sys Sector SD-T a3-1,45.60,true,1,1,Core Sys Sector SD-T a3-1,966,T (Brown dwarf) Star,0,false,false,0,,0,0,Core Sys Sector SD-T a3-1,T (Brown dwarf) Star,9,0,0.1746,V,9818,966,0.1746,Core Sys Sector SD-T a3-1 7,628,Icy body,20,1240.4838,-T (Brown dwarf) Star-,0,false,,,false
Crucis Sector WO-R a4-2,87.92,true,1,1,Crucis Sector WO-R a4-2,963,T (Brown dwarf) Star,0,false,false,0,,0,0,Crucis Sector WO-R a4-2,T (Brown dwarf) Star,9,0,0.1961,V,5176,963,0.1961,Crucis Sector WO-R a4-2 5,1146,Icy body,20,4422.8784,-T (Brown dwarf) Star-,0,false,,,false
Alrai Sector RI-T a3-1,79.52,true,1,1,Alrai Sector RI-T a3-1,961,T (Brown dwarf) Star,0,false,false,0,,0,0,Alrai Sector RI-T a3-1,T (Brown dwarf) Star,9,0,0.1707,V,12985,961,0.1707,Alrai Sector RI-T a3-1 7,1678,Icy body,20,2371.3015,-T (Brown dwarf) Star-,0,false,,,false
Col 285 Sector IT-W b16-3,97.76,true,2,2,Col 285 Sector IT-W b16-3 B,959,T (Brown dwarf) Star,115492,false,false,1,0.1705,110755.0080585,109133.29736543578,Col 285 Sector IT-W b16-3 B,T (Brown dwarf) Star,9,115492,0.1651,Vz,212,959,0.3935,Col 285 Sector IT-W b16-3 B 7,117823,Icy body,20,2106.823,-M (Red dwarf) Star-T (Brown dwarf) Star-,0,true,2285,Vz,false
Tascheter Sector HM-V a2-1,93.26,true,1,1,Tascheter Sector HM-V a2-1,957,T (Brown dwarf) Star,0,false,false,0,,0,0,Tascheter Sector HM-V a2-1,T (Brown dwarf) Star,9,0,0.148,V,274,957,0.148,Tascheter Sector HM-V a2-1 7,2864,Icy body,20,10524.5684,-T (Brown dwarf) Star-,0,false,,,false
Piscium Sector RK-N a7-2,99.70,true,1,1,Piscium Sector RK-N a7-2,957,T (Brown dwarf) Star,0,false,false,0,,0,0,Piscium Sector RK-N a7-2,T (Brown dwarf) Star,9,0,0.1778,V,3824,957,0.1778,Piscium Sector RK-N a7-2 7,1125,Icy body,20,3362.2173,-T (Brown dwarf) Star-,0,false,,,false
Col 285 Sector JX-U a32-3,92.66,true,1,1,Col 285 Sector JX-U a32-3,957,T (Brown dwarf) Star,0,false,false,0,,0,0,Col 285 Sector JX-U a32-3,T (Brown dwarf) Star,9,0,0.1506,V,12979,957,0.1506,Col 285 Sector JX-U a32-3 7,4146,Icy body,20,5746.4736,-T (Brown dwarf) Star-,0,false,,,false
Piscium Sector HD-I a10-3,61.18,true,1,1,Piscium Sector HD-I a10-3,956,T (Brown dwarf) Star,0,false,false,0,,0,0,Piscium Sector HD-I a10-3,T (Brown dwarf) Star,9,0,0.182,V,472,956,0.182,Piscium Sector HD-I a10-3 4 a,1450,Icy body,20,3214.708,-T (Brown dwarf) Star-,0,false,,,false
Trianguli Sector OO-Q a5-4,86.14,true,1,1,Trianguli Sector OO-Q a5-4,955,T (Brown dwarf) Star,0,false,false,0,,0,0,Trianguli Sector OO-Q a5-4,T (Brown dwarf) Star,9,0,0.1813,V,11130,955,0.1813,Trianguli Sector OO-Q a5-4 5 a,2302,Icy body,20,497.2341,-T (Brown dwarf) Star-,0,false,,,false
Puppis Sector WJ-R a4-2,62.00,true,1,1,Puppis Sector WJ-R a4-2,950,T (Brown dwarf) Star,0,false,false,0,,0,0,Puppis Sector WJ-R a4-2,T (Brown dwarf) Star,9,0,0.1726,V,840,950,0.1726,Puppis Sector WJ-R a4-2 6,2401,Icy body,20,5312.6357,-T (Brown dwarf) Star-,0,false,,,false
Piscium Sector RE-P a6-0,59.22,true,1,1,Piscium Sector RE-P a6-0,950,T (Brown dwarf) Star,0,false,false,0,,0,0,Piscium Sector RE-P a6-0,T (Brown dwarf) Star,9,0,0.167,V,12879,950,0.167,Piscium Sector RE-P a6-0 7,2671,Icy body,20,504.9411,-T (Brown dwarf) Star-,0,false,,,false
Tiannodaabe,92.58,true,4,4,Tiannodaabe D,949,T (Brown dwarf) Star,45605,false,false,1,0.0526,40844.457459,40787.91491643968,Tiannodaabe D,T (Brown dwarf) Star,9,45605,0.1494,V,4948,949,0.3066,Tiannodaabe D 6,45073,Icy body,20,1279.3094,-L (Brown dwarf) Star-Y (Brown dwarf) Star-L (Brown dwarf) Star-T (Brown dwarf) Star-,1,false,,,false
Marson,92.60,true,1,1,Marson,947,T (Brown dwarf) Star,0,false,false,0,,0,0,Marson,T (Brown dwarf) Star,9,0,0.1421,V,8704,947,0.1421,Marson 6,2352,Icy body,20,6265.2471,-T (Brown dwarf) Star-,1,false,,,false
Tascheter Sector ZZ-P a5-1,64.20,true,1,1,Tascheter Sector ZZ-P a5-1,946,T (Brown dwarf) Star,0,false,false,0,,0,0,Tascheter Sector ZZ-P a5-1,T (Brown dwarf) Star,9,0,0.1445,V,358,946,0.1445,Tascheter Sector ZZ-P a5-1 4 a,1577,Icy body,20,2076.0549,-T (Brown dwarf) Star-,0,false,,,false
LHS 2661,51.02,false,3,3,LHS 2661 5,946,Class IV gas giant,1614,false,true,1,0.1354,1787.4858105,1771.0248846285554,LHS 2661 4,Y (Brown dwarf) Star,9,1568,0.064,V,2124,343,0.064,LHS 2661 5 h,1622,Icy body,95,3832.7395,-Y (Brown dwarf) Star-Y (Brown dwarf) Star-White Dwarf (DA) Star-,0,false,,,false
DX 507,40.80,true,1,1,DX 507,942,T (Brown dwarf) Star,0,false,false,0,,0,0,DX 507,T (Brown dwarf) Star,9,0,0.1634,V,9766,942,0.1634,DX 507 6 a,3180,Icy body,20,4185.8301,-T (Brown dwarf) Star-,0,false,,,false
Hyades Sector PL-H a25-2,50.12,true,1,1,Hyades Sector PL-H a25-2,942,T (Brown dwarf) Star,0,false,false,0,,0,0,Hyades Sector PL-H a25-2,T (Brown dwarf) Star,9,0,0.1713,V,284,942,0.1713,Hyades Sector PL-H a25-2 6,2777,Icy body,20,10211.2549,-T (Brown dwarf) Star-,0,false,,,false
Col 285 Sector IS-U a32-4,74.39,true,1,1,Col 285 Sector IS-U a32-4,941,T (Brown dwarf) Star,0,false,false,0,,0,0,Col 285 Sector IS-U a32-4,T (Brown dwarf) Star,9,0,0.1716,V,7528,941,0.1716,Col 285 Sector IS-U a32-4 6,2628,Icy body,20,6425.0107,-T (Brown dwarf) Star-,0,false,,,false
Alrai Sector MH-M a7-0,83.10,true,1,1,Alrai Sector MH-M a7-0,941,T (Brown dwarf) Star,0,false,false,0,,0,0,Alrai Sector MH-M a7-0,T (Brown dwarf) Star,9,0,0.1574,V,1218,941,0.1574,Alrai Sector MH-M a7-0 4,835,Icy body,20,6252.7061,-T (Brown dwarf) Star-,0,false,,,false
CD-59 4616,98.23,false,1,1,CD-59 4616 6,941,Class IV gas giant,2438,false,true,1,0.1947,2065.780899,2026.2477184706677,CD-59 4616,K (Yellow-Orange) Star,0,0,0.7517,V,2544,4355,0.7517,CD-59 4616 6 h,2402,Icy body,95,5064.8535,-K (Yellow-Orange) Star-,1,false,,,false
Piscium Sector CM-U a3-2,98.38,true,2,2,Piscium Sector CM-U a3-2 B,940,T (Brown dwarf) Star,122030,false,false,1,0.0439,91368.51410700001,91280.42848962589,Piscium Sector CM-U a3-2 B,T (Brown dwarf) Star,9,122030,0.1594,V,6678,940,0.2856,Piscium Sector CM-U a3-2 B 6,120162,Icy body,20,4766,-L (Brown dwarf) Star-T (Brown dwarf) Star-,0,false,,,false
Col 285 Sector NE-R a34-3,52.18,true,1,1,Col 285 Sector NE-R a34-3,939,T (Brown dwarf) Star,0,false,false,0,,0,0,Col 285 Sector NE-R a34-3,T (Brown dwarf) Star,9,0,0.1703,V,760,939,0.1703,Col 285 Sector NE-R a34-3 7,2606,Icy body,20,3079.897,-T (Brown dwarf) Star-,0,false,,,false
Uelloskima,78.10,true,3,3,Uelloskima C,938,T (Brown dwarf) Star,335402,false,false,2,0.0053,41626.44819449999,41625.86354692939,Uelloskima C,T (Brown dwarf) Star,9,335402,0.1553,V,12380,938,0.9003,Uelloskima C 7,335637,Icy body,25,3337.3884,-K (Yellow-Orange) Star-T (Brown dwarf) Star-M (Red dwarf) Star-,1,true,2508,Va,false
Tascheter Sector PY-R a4-0,67.53,true,1,1,Tascheter Sector PY-R a4-0,938,T (Brown dwarf) Star,0,false,false,0,,0,0,Tascheter Sector PY-R a4-0,T (Brown dwarf) Star,9,0,0.1769,V,11996,938,0.1769,Tascheter Sector PY-R a4-0 7,613,Icy body,20,4912.2632,-T (Brown dwarf) Star-,0,false,,,false
Piscium Sector KY-Q a5-0,93.47,true,1,1,Piscium Sector KY-Q a5-0,935,T (Brown dwarf) Star,0,false,false,0,,0,0,Piscium Sector KY-Q a5-0,T (Brown dwarf) Star,9,0,0.1667,V,3146,935,0.1667,Piscium Sector KY-Q a5-0 6,2608,Icy body,20,5561.126,-T (Brown dwarf) Star-,0,false,,,false
Veren's Stop,32.59,true,1,1,Veren's Stop,935,T (Brown dwarf) Star,0,false,false,0,,0,0,Veren's Stop,T (Brown dwarf) Star,9,0,0.1585,V,708,935,0.1585,Veren's Stop 5,295,Icy body,20,7331.269,-T (Brown dwarf) Star-,0,false,,,false
Vihaara,75.33,true,1,1,Vihaara,934,T (Brown dwarf) Star,0,false,false,0,,0,0,Vihaara,T (Brown dwarf) Star,9,0,0.1818,V,6196,934,0.1818,Vihaara 6,5269,Icy body,20,6341.4668,-T (Brown dwarf) Star-,0,false,,,false
Alrai Sector XO-R a4-0,72.64,true,2,2,Alrai Sector XO-R a4-0 B,933,T (Brown dwarf) Star,16515,false,false,1,0.2096,11099.567817000001,10853.015515875873,Alrai Sector XO-R a4-0 B,T (Brown dwarf) Star,9,16515,0.1644,V,478,933,0.329,Alrai Sector XO-R a4-0 B 6,16640,Icy body,20,3971.0752,-L (Brown dwarf) Star-T (Brown dwarf) Star-,0,false,,,false
Kadi,54.24,true,1,1,Kadi,932,T (Brown dwarf) Star,0,false,false,0,,0,0,Kadi,T (Brown dwarf) Star,9,0,0.1741,V,410,932,0.1741,Kadi 7,1726,Icy body,20,5162.8359,-T (Brown dwarf) Star-,1,false,,,false
Alrai Sector PC-V a2-0,57.64,true,1,1,Alrai Sector PC-V a2-0,927,T (Brown dwarf) Star,0,false,false,0,,0,0,Alrai Sector PC-V a2-0,T (Brown dwarf) Star,9,0,0.1643,V,286,927,0.1643,Alrai Sector PC-V a2-0 5 a,1271,Icy body,20,1172.1591,-T (Brown dwarf) Star-,0,false,,,false
AD Leonis,16.00,true,2,2,AD Leonis B,924,T (Brown dwarf) Star,156365,false,false,1,0.1695,113642.0513865,111997.67218350577,AD Leonis B,T (Brown dwarf) Star,9,156365,0.1486,V,8840,924,0.3659,AD Leonis B 5,157991,Icy body,20,6965.3159,-M (Red dwarf) Star-T (Brown dwarf) Star-,0,true,2146,V,false
LHS 2661,51.02,true,3,3,LHS 2661 6,924,Class IV gas giant,2273,false,true,1,0.0784,2339.2855395,2332.0851786202275,LHS 2661 4,Y (Brown dwarf) Star,9,1568,0.064,V,2124,343,0.064,LHS 2661 6 f a,2281,Icy body,101,1243.4696,-Y (Brown dwarf) Star-Y (Brown dwarf) Star-White Dwarf (DA) Star-,0,false,,,false
Qa'wakana,67.04,false,3,3,Qa'wakana 12,923,Class IV gas giant,4602,false,true,1,0.004,4583.5106264999995,4583.473958268314,Qa'wakana 9,Y (Brown dwarf) Star,9,2506,0.1011,V,1060,565,1.3119,Qa'wakana 12 h,4668,Rocky body,168,1010.6203,-Y (Brown dwarf) Star-Y (Brown dwarf) Star-F (White) Star-,1,false,,,false
Jastreb Sector CL-Y d145,20.21,true,2,2,Jastreb Sector CL-Y d145 B,922,T (Brown dwarf) Star,113690,false,false,1,0.1335,89076.88354499999,88279.53971430466,Jastreb Sector CL-Y d145 B,T (Brown dwarf) Star,9,113690,0.1638,V,918,922,0.2801,Jastreb Sector CL-Y d145 B 5 a,112445,Icy body,20,1767.7296,-L (Brown dwarf) Star-T (Brown dwarf) Star-,0,false,,,false
Khaima,93.16,false,3,3,Khaima ABC 1,922,Class IV gas giant,1502,true,false,1,0.0051,1453.4518635,1453.4329612356023,Khaima C,M (Red dwarf) Star,6,500,0.4053,Va,12997,2638,0.8507,Khaima ABC 1 h,1526,Icy body,336,2966.967,-K (Yellow-Orange) Star-K (Yellow-Orange) Star-M (Red dwarf) Star-,1,true,2638,Va,false
Spinibo,77.24,true,1,1,Spinibo,921,T (Brown dwarf) Star,0,false,false,0,,0,0,Spinibo,T (Brown dwarf) Star,9,0,0.1504,V,568,921,0.1504,Spinibo 5,1088,Icy body,20,2236.626,-T (Brown dwarf) Star-,1,false,,,false
Sharru Sector KC-V b2-6,57.22,true,2,2,Sharru Sector KC-V b2-6 B,920,T (Brown dwarf) Star,232414,false,false,1,0.0279,196346.8406835,196270.406634219,Sharru Sector KC-V b2-6 B,T (Brown dwarf) Star,9,232414,0.1508,V,2630,920,0.4267,Sharru Sector KC-V b2-6 B 7,230020,Icy body,20,4084.9958,-M (Red dwarf) Star-T (Brown dwarf) Star-,0,true,2541,Va,false
Crucis Sector FH-M a7-2,86.33,true,1,1,Crucis Sector FH-M a7-2,919,T (Brown dwarf) Star,0,false,false,0,,0,0,Crucis Sector FH-M a7-2,T (Brown dwarf) Star,9,0,0.1541,V,3718,919,0.1541,Crucis Sector FH-M a7-2 6,2205,Icy body,20,7384.8706,-T (Brown dwarf) Star-,0,false,,,false
Hermitage,39.50,true,1,1,Hermitage,919,T (Brown dwarf) Star,0,false,false,0,,0,0,Hermitage,T (Brown dwarf) Star,9,0,0.161,V,4012,919,0.161,Hermitage 4 b,1167,Icy body,20,448.2371,-T (Brown dwarf) Star-,0,false,,,false
Alrai Sector VO-R a4-3,80.03,true,1,1,Alrai Sector VO-R a4-3,917,T (Brown dwarf) Star,0,false,false,0,,0,0,Alrai Sector VO-R a4-3,T (Brown dwarf) Star,9,0,0.1539,V,6660,917,0.1539,Alrai Sector VO-R a4-3 6,3656,Icy body,20,10616.1377,-T (Brown dwarf) Star-,0,false,,,false
Trianguli Sector VF-N a7-3,70.43,true,1,1,Trianguli Sector VF-N a7-3,916,T (Brown dwarf) Star,0,false,false,0,,0,0,Trianguli Sector VF-N a7-3,T (Brown dwarf) Star,9,0,0.1586,V,11072,916,0.1586,Trianguli Sector VF-N a7-3 6,4704,Icy body,20,6365.272,-T (Brown dwarf) Star-,0,false,,,false
Trianguli Sector DH-L a8-2,84.94,true,1,1,Trianguli Sector DH-L a8-2,915,T (Brown dwarf) Star,0,false,false,0,,0,0,Trianguli Sector DH-L a8-2,T (Brown dwarf) Star,9,0,0.1591,V,9600,915,0.1591,Trianguli Sector DH-L a8-2 6,1663,Icy body,20,7905.6279,-T (Brown dwarf) Star-,0,false,,,false
Alrai Sector LH-M a7-3,90.26,true,1,1,Alrai Sector LH-M a7-3,915,T (Brown dwarf) Star,0,false,false,0,,0,0,Alrai Sector LH-M a7-3,T (Brown dwarf) Star,9,0,0.1485,V,1224,915,0.1485,Alrai Sector LH-M a7-3 5,1961,Icy body,20,3438.9785,-T (Brown dwarf) Star-,0,false,,,false
Piscium Sector UZ-O a6-2,61.45,true,1,1,Piscium Sector UZ-O a6-2,915,T (Brown dwarf) Star,0,false,false,0,,0,0,Piscium Sector UZ-O a6-2,T (Brown dwarf) Star,9,0,0.1628,V,12296,915,0.1628,Piscium Sector UZ-O a6-2 6,5975,Icy body,20,4447.2949,-T (Brown dwarf) Star-,0,false,,,false
Piscium Sector VZ-O a6-1,51.21,true,1,1,Piscium Sector VZ-O a6-1,914,T (Brown dwarf) Star,0,false,false,0,,0,0,Piscium Sector VZ-O a6-1,T (Brown dwarf) Star,9,0,0.1602,V,13034,914,0.1602,Piscium Sector VZ-O a6-1 5,1892,Icy body,20,6816.3813,-T (Brown dwarf) Star-,0,false,,,false
LTT 12696,95.55,true,2,2,LTT 12696 4,914,Class IV gas giant,2879,false,true,1,0.0044,2890.037358,2890.0093823029715,LTT 12696 2,Y (Brown dwarf) Star,9,1540,0.0718,V,1898,396,0.8678,LTT 12696 4 e,2873,Icy body,88,3782.2393,-K (Yellow-Orange) Star-Y (Brown dwarf) Star-,1,false,,,false
Puppis Sector AQ-P a5-1,62.11,true,1,1,Puppis Sector AQ-P a5-1,913,T (Brown dwarf) Star,0,false,false,0,,0,0,Puppis Sector AQ-P a5-1,T (Brown dwarf) Star,9,0,0.1508,V,5696,913,0.1508,Puppis Sector AQ-P a5-1 5,1162,Icy body,20,8009.0977,-T (Brown dwarf) Star-,0,false,,,false
Col 285 Sector KQ-N a36-4,98.90,true,1,1,Col 285 Sector KQ-N a36-4,912,T (Brown dwarf) Star,0,false,false,0,,0,0,Col 285 Sector KQ-N a36-4,T (Brown dwarf) Star,9,0,0.1573,V,284,912,0.1573,Col 285 Sector KQ-N a36-4 6,1470,Icy body,20,3700.3159,-T (Brown dwarf) Star-,0,false,,,false
Tascheter Sector RT-R a4-2,77.42,true,1,1,Tascheter Sector RT-R a4-2,912,T (Brown dwarf) Star,0,false,false,0,,0,0,Tascheter Sector RT-R a4-2,T (Brown dwarf) Star,9,0,0.1653,V,6676,912,0.1653,Tascheter Sector RT-R a4-2 6,3705,Icy body,20,6657.311,-T (Brown dwarf) Star-,0,false,,,false
Crucis Sector WJ-R a4-3,80.81,true,1,1,Crucis Sector WJ-R a4-3,912,T (Brown dwarf) Star,0,false,false,0,,0,0,Crucis Sector WJ-R a4-3,T (Brown dwarf) Star,9,0,0.1557,V,10344,912,0.1557,Crucis Sector WJ-R a4-3 6,3143,Icy body,20,3011.6565,-T (Brown dwarf) Star-,0,false,,,false
Nocori,86.49,true,4,4,Nocori C,911,T (Brown dwarf) Star,2407,false,false,2,0.1766,1705.7487915,1678.9390316348488,Nocori C,T (Brown dwarf) Star,9,2407,0.1497,V,308,911,0.2796,Nocori C 7,2395,Icy body,48,1750.3796,-L (Brown dwarf) Star-L (Brown dwarf) Star-T (Brown dwarf) Star-T (Brown dwarf) Star-,1,false,,,false
Samequit,67.64,true,1,1,Samequit,911,T (Brown dwarf) Star,0,false,false,0,,0,0,Samequit,T (Brown dwarf) Star,9,0,0.1779,V,13039,911,0.1779,Samequit 5 b,846,Icy body,20,570.0955,-T (Brown dwarf) Star-,1,false,,,false
BD-05 2603,98.77,true,2,2,BD-05 2603 4,910,Class IV gas giant,3297,false,true,1,0.0174,3351.5670824999997,3351.0596838671413,BD-05 2603 3,T (Brown dwarf) Star,9,2489,0.1104,V,3666,710,0.7575,BD-05 2603 4 f,3344,Icy body,135,2783.1663,-K (Yellow-Orange) Star-T (Brown dwarf) Star-,1,false,,,false
Col 285 Sector IJ-I a39-2,86.94,true,1,1,Col 285 Sector IJ-I a39-2,908,T (Brown dwarf) Star,0,false,false,0,,0,0,Col 285 Sector IJ-I a39-2,T (Brown dwarf) Star,9,0,0.144,V,1692,908,0.144,Col 285 Sector IJ-I a39-2 5 a,2045,Icy body,20,908.7861,-T (Brown dwarf) Star-,0,false,,,false
Ipoix,49.74,true,2,2,Ipoix,908,T (Brown dwarf) Star,0,false,false,0,,0,0,Ipoix,T (Brown dwarf) Star,9,0,0.171,V,12900,908,0.171,Ipoix 6,1611,Icy body,20,2677.9023,-T (Brown dwarf) Star-T (Brown dwarf) Star-,0,false,,,false
Ipoix,49.74,true,2,2,Ipoix Core Sys Sector LC-M a7-3,908,T (Brown dwarf) Star,0,false,false,0,,0,0,Ipoix,T (Brown dwarf) Star,9,0,0.171,V,12900,908,0.171,Ipoix Core Sys Sector LC-M a7-3 6,1611,Icy body,20,2677.9023,-T (Brown dwarf) Star-T (Brown dwarf) Star-,0,false,,,false
Didayac,67.79,true,1,1,Didayac,907,T (Brown dwarf) Star,0,false,false,0,,0,0,Didayac,T (Brown dwarf) Star,9,0,0.1403,V,5836,907,0.1403,Didayac 4 a,1626,Icy body,20,2971.6985,-T (Brown dwarf) Star-,1,false,,,false
Piscium Sector WF-N a7-4,76.07,true,1,1,Piscium Sector WF-N a7-4,907,T (Brown dwarf) Star,0,false,false,0,,0,0,Piscium Sector WF-N a7-4,T (Brown dwarf) Star,9,0,0.1674,V,1380,907,0.1674,Piscium Sector WF-N a7-4 6,1383,Icy body,20,7413.9492,-T (Brown dwarf) Star-,0,false,,,false
Arima,47.88,true,1,1,Arima,906,T (Brown dwarf) Star,0,false,false,0,,0,0,Arima,T (Brown dwarf) Star,9,0,0.158,V,7002,906,0.158,Arima 7,3232,Class I gas giant,6,31244.0977,-T (Brown dwarf) Star-,0,false,,,false
Shibboleth,62.42,false,1,1,Shibboleth 2,906,Class IV gas giant,1100,false,true,1,0.0001,1100.306025,1100.3060194984698,Shibboleth,G (White-Yellow) Star,0,0,1.0881,V,8120,6240,1.0881,Shibboleth 2 h,1081,Rocky body,221,968.2724,-G (White-Yellow) Star-,1,false,,,false
Alrai Sector KH-M a7-4,91.68,true,1,1,Alrai Sector KH-M a7-4,901,T (Brown dwarf) Star,0,false,false,0,,0,0,Alrai Sector KH-M a7-4,T (Brown dwarf) Star,9,0,0.1447,V,2690,901,0.1447,Alrai Sector KH-M a7-4 6,1921,Icy body,20,3960.7888,-T (Brown dwarf) Star-,0,false,,,false
Crucis Sector YJ-R a4-0,96.38,true,1,1,Crucis Sector YJ-R a4-0,898,T (Brown dwarf) Star,0,false,false,0,,0,0,Crucis Sector YJ-R a4-0,T (Brown dwarf) Star,9,0,0.1497,V,12856,898,0.1497,Crucis Sector YJ-R a4-0 6,2077,Icy body,20,2076.1775,-T (Brown dwarf) Star-,0,false,,,false
Tascheter Sector CR-M a7-1,45.90,true,1,1,Tascheter Sector CR-M a7-1,898,T (Brown dwarf) Star,0,false,false,0,,0,0,Tascheter Sector CR-M a7-1,T (Brown dwarf) Star,9,0,0.1806,V,668,898,0.1806,Tascheter Sector CR-M a7-1 7,2828,Icy body,20,5184.3892,-T (Brown dwarf) Star-,0,false,,,false
Kokkinaka,77.59,true,1,1,Kokkinaka,898,T (Brown dwarf) Star,0,false,false,0,,0,0,Kokkinaka,T (Brown dwarf) Star,9,0,0.1587,V,8564,898,0.1587,Kokkinaka 7,1953,Icy body,20,1805.3859,-T (Brown dwarf) Star-,0,false,,,false
Core Sys Sector TD-T a3-3,41.80,true,1,1,Core Sys Sector TD-T a3-3,897,T (Brown dwarf) Star,0,false,false,0,,0,0,Core Sys Sector TD-T a3-3,T (Brown dwarf) Star,9,0,0.158,V,2392,897,0.158,Core Sys Sector TD-T a3-3 3,17,Icy body,73,2599.2915,-T (Brown dwarf) Star-,0,false,,,false
LP 838-16,37.01,true,3,3,LP 838-16 B,897,T (Brown dwarf) Star,1418,false,false,2,0.0582,1161.5339385,1159.5650727216032,LP 838-16 B,T (Brown dwarf) Star,9,1418,0.1469,V,11632,897,0.4086,LP 838-16 B 5 a,1364,Icy body,163,718.6305,-M (Red dwarf) Star-L (Brown dwarf) Star-T (Brown dwarf) Star-,1,true,2369,V,false
Tascheter Sector XE-Q a5-2,60.91,true,1,1,Tascheter Sector XE-Q a5-2,895,T (Brown dwarf) Star,0,false,false,0,,0,0,Tascheter Sector XE-Q a5-2,T (Brown dwarf) Star,9,0,0.1762,V,622,895,0.1762,Tascheter Sector XE-Q a5-2 6 a,2719,Icy body,20,2168.8645,-T (Brown dwarf) Star-,0,false,,,false
Col 285 Sector EP-P a35-1,89.91,true,1,1,Col 285 Sector EP-P a35-1,892,T (Brown dwarf) Star,0,false,false,0,,0,0,Col 285 Sector EP-P a35-1,T (Brown dwarf) Star,9,0,0.1576,V,10668,892,0.1576,Col 285 Sector EP-P a35-1 6,1809,Icy body,20,3945.4006,-T (Brown dwarf) Star-,0,false,,,false
Puppis Sector FW-N a6-2,68.28,true,1,1,Puppis Sector FW-N a6-2,892,T (Brown dwarf) Star,0,false,false,0,,0,0,Puppis Sector FW-N a6-2,T (Brown dwarf) Star,9,0,0.172,V,304,892,0.172,Puppis Sector FW-N a6-2 6 a,1682,Icy body,20,1963.9795,-T (Brown dwarf) Star-,0,false,,,false
Chelgit,65.74,true,3,3,Chelgit C,892,T (Brown dwarf) Star,49371,false,false,1,0.5201,25713.5779485,21962.105112152065,Chelgit C,T (Brown dwarf) Star,9,49371,0.157,V,10640,892,0.2767,Chelgit C 5 a,49959,Icy body,20,527.3395,-L (Brown dwarf) Star-T (Brown dwarf) Star-T (Brown dwarf) Star-,1,false,,,false
LP 937-95,60.41,true,2,2,LP 937-95 B,891,T (Brown dwarf) Star,4410,false,false,1,0.0638,3781.759293,3774.0547326194283,LP 937-95 B,T (Brown dwarf) Star,9,4410,0.172,V,11682,891,0.4008,LP 937-95 B 7,4270,Icy body,36,2357.5171,-M (Red dwarf) Star-T (Brown dwarf) Star-,0,true,2321,V,false
Tascheter Sector WZ-P a5-0,61.40,true,1,1,Tascheter Sector WZ-P a5-0,887,T (Brown dwarf) Star,0,false,false,0,,0,0,Tascheter Sector WZ-P a5-0,T (Brown dwarf) Star,9,0,0.1688,V,6790,887,0.1688,Tascheter Sector WZ-P a5-0 7,2652,Icy body,20,6467.8755,-T (Brown dwarf) Star-,0,false,,,false
Rho Puppis,63.55,false,3,3,Rho Puppis 3,886,Class IV gas giant,995,false,true,1,0.0035,996.3632835,996.3571807561988,Rho Puppis 6,Y (Brown dwarf) Star,9,1872,0.0759,V,3860,430,4.9712,Rho Puppis 3 h,1008,Rocky body,426,1116.3557,-G (White-Yellow super giant) Star-Y (Brown dwarf) Star-Y (Brown dwarf) Star-,1,false,,,false
